source_name,target_name,value
"Total, 16 years and over","Agriculture, forestry, fishing, and hunting",
"Total, 16 years and over","Mining, quarrying, and oil and gas extraction",
"Total, 16 years and over",Construction,9935.00
"Total, 16 years and over",Manufacturing,
"Total, 16 years and over",Wholesale and retail trade,
"Total, 16 years and over",Transportation and utilities,
"Total, 16 years and over",Information,
"Total, 16 years and over",Financial activities,
"Total, 16 years and over",Professional and business services,
"Total, 16 years and over",Education and health services,
"Total, 16 years and over",Leisure and hospitality,
"Total, 16 years and over",Other services,
"Total, 16 years and over",Public administration,
,,
"Agriculture, forestry, fishing, and hunting",Crop production,1219.00
"Agriculture, forestry, fishing, and hunting",Animal production and aquaculture,847.00
"Agriculture, forestry, fishing, and hunting","Forestry, except logging",49.00
"Agriculture, forestry, fishing, and hunting",Logging,83.00
"Agriculture, forestry, fishing, and hunting","Fishing, hunting, and trapping",56.00
"Agriculture, forestry, fishing, and hunting",Support activities for agriculture and forestry,168.00
,,
"Mining, quarrying, and oil and gas extraction",Oil and gas extraction,103.00
"Mining, quarrying, and oil and gas extraction",Coal mining,68.00
"Mining, quarrying, and oil and gas extraction",Metal ore mining,45.00
"Mining, quarrying, and oil and gas extraction",Nonmetallic mineral mining and quarrying,86.00
"Mining, quarrying, and oil and gas extraction",Not specified type of mining,7.00
"Mining, quarrying, and oil and gas extraction",Support activities for mining,609.00
,,
,,
,,
,,
Manufacturing,Nonmetallic mineral products manufacturing,
Manufacturing,Primary metals and fabricated metal products manufacturing,
Manufacturing,Machinery manufacturing,
Manufacturing,Computers and electronic products manufacturing,
Manufacturing,Electrical equipment and appliances manufacturing,
Manufacturing,Transportation equipment manufacturing,
Manufacturing,Wood products manufacturing,
Manufacturing,Furniture and related product manufacturing,
Manufacturing,Miscellaneous manufacturing,
Manufacturing,Food manufacturing,
Manufacturing,Beverage and tobacco products manufacturing,
Manufacturing,"Textiles, apparel, and leather manufacturing",
Manufacturing,Paper manufacturing and printing,
Manufacturing,Petroleum and coal products manufacturing,
Manufacturing,Chemicals manufacturing,
Manufacturing,Plastics and rubber products manufacturing,
,,
Nonmetallic mineral products manufacturing,"Pottery, ceramics, and plumbing fixture manufacturing",23.00
Nonmetallic mineral products manufacturing,Clay building material and refractories manufacturing,24.00
Nonmetallic mineral products manufacturing,Glass and glass product manufacturing,148.00
Nonmetallic mineral products manufacturing,"Cement, concrete, lime, and gypsum product manufacturing",180.00
Nonmetallic mineral products manufacturing,Miscellaneous nonmetallic mineral product manufacturing,82.00
,,
Primary metals and fabricated metal products manufacturing,Iron and steel mills and steel product manufacturing,303.00
Primary metals and fabricated metal products manufacturing,Aluminum production and processing,68.00
Primary metals and fabricated metal products manufacturing,"Nonferrous metal, except aluminum, production and processing",60.00
Primary metals and fabricated metal products manufacturing,Foundries,88.00
Primary metals and fabricated metal products manufacturing,Metal forgings and stampings,64.00
Primary metals and fabricated metal products manufacturing,Cutlery and hand tool manufacturing,39.00
Primary metals and fabricated metal products manufacturing,"Structural metals, and boiler, tank, and shipping container manufacturing",375.00
Primary metals and fabricated metal products manufacturing,"Machine shops; turned product; screw, nut, and bolt manufacturing",300.00
Primary metals and fabricated metal products manufacturing,"Coating, engraving, heat treating and allied activities",67.00
Primary metals and fabricated metal products manufacturing,Ordnance,49.00
Primary metals and fabricated metal products manufacturing,Miscellaneous fabricated metal products manufacturing,283.00
Primary metals and fabricated metal products manufacturing,Not specified metal industries,30.00
,,
Machinery manufacturing,Agricultural implement manufacturing,132.00
Machinery manufacturing,"Construction, and mining and oil and gas field machinery manufacturing",203.00
Machinery manufacturing,Commercial and service industry machinery manufacturing,72.00
Machinery manufacturing,Metalworking machinery manufacturing,138.00
Machinery manufacturing,"Engine, turbine, and power transmission equipment manufacturing",61.00
Machinery manufacturing,"Machinery manufacturing, n.e.c.",654.00
Machinery manufacturing,Not specified machinery manufacturing,10.00
Machinery manufacturing,"Machine shops; turned product; screw, nut, and bolt manufacturing",300.00
Machinery manufacturing,"Coating, engraving, heat treating and allied activities",67.00
Machinery manufacturing,Ordnance,49.00
Machinery manufacturing,Miscellaneous fabricated metal products manufacturing,283.00
Machinery manufacturing,Not specified metal industries,30.00
,,
Computers and electronic products manufacturing,Computer and peripheral equipment manufacturing,212.00
Computers and electronic products manufacturing,"Communications, and audio and video equipment manufacturing",127.00
Computers and electronic products manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing",220.00
Computers and electronic products manufacturing,"Electronic component and product manufacturing, n.e.c.",612.00
,,
Electrical equipment and appliances manufacturing,Household appliance manufacturing,87.00
Electrical equipment and appliances manufacturing,"Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.",290.00
,,
Transportation equipment manufacturing,Motor vehicles and motor vehicle equipment manufacturing,1284.00
Transportation equipment manufacturing,Aircraft and parts manufacturing,734.00
Transportation equipment manufacturing,Aerospace product and parts manufacturing,102.00
Transportation equipment manufacturing,Railroad rolling stock manufacturing,39.00
Transportation equipment manufacturing,Ship and boat building,157.00
Transportation equipment manufacturing,Other transportation equipment manufacturing,50.00
,,
Wood products manufacturing,Sawmills and wood preservation,119.00
Wood products manufacturing,"Veneer, plywood, and engineered wood products",45.00
Wood products manufacturing,Prefabricated wood buildings and mobile homes,37.00
Wood products manufacturing,Miscellaneous wood products,209.00
,,
Furniture and related product manufacturing,Furniture and related product manufacturing,425.00
,,
Miscellaneous manufacturing,Medical equipment and supplies manufacturing,585.00
Miscellaneous manufacturing,"Sporting and athletic goods, and doll, toy and game manufacturing",110.00
Miscellaneous manufacturing,"Miscellaneous manufacturing, n.e.c.",531.00
Miscellaneous manufacturing,Not specified manufacturing industries,281.00
,,
Food manufacturing,"Animal food, grain, and oilseed milling",142.00
Food manufacturing,Sugar and confectionery products,80.00
Food manufacturing,Fruit and vegetable preserving and specialty food manufacturing,173.00
Food manufacturing,Dairy product manufacturing,136.00
Food manufacturing,Animal slaughtering and processing,510.00
Food manufacturing,Retail bakeries,256.00
Food manufacturing,"Bakeries and tortilla manufacturing, except retail bakeries",199.00
Food manufacturing,"Seafood and other miscellaneous foods, n.e.c.",201.00
Food manufacturing,Not specified food industries,54.00
,,
Beverage and tobacco products manufacturing,Beverage manufacturing,254.00
Beverage and tobacco products manufacturing,Tobacco manufacturing,28.00
,,
"Textiles, apparel, and leather manufacturing","Fiber, yarn, and thread mills",14.00
"Textiles, apparel, and leather manufacturing","Fabric mills, except knitting mills",109.00
"Textiles, apparel, and leather manufacturing",Textile and fabric finishing and coating mills,13.00
"Textiles, apparel, and leather manufacturing",Carpet and rug mills,77.00
"Textiles, apparel, and leather manufacturing","Textile product mills, except carpet and rug",88.00
"Textiles, apparel, and leather manufacturing","Knitting fabric mills, and apparel knitting mills",16.00
"Textiles, apparel, and leather manufacturing",Cut and sew apparel manufacturing,247.00
"Textiles, apparel, and leather manufacturing",Apparel accessories and other apparel manufacturing,7.00
"Textiles, apparel, and leather manufacturing",Footwear manufacturing,41.00
"Textiles, apparel, and leather manufacturing",Leather tanning and finishing and other allied products manufacturing,16.00
,,
Paper manufacturing and printing,"Pulp, paper, and paperboard mills",206.00
Paper manufacturing and printing,Paperboard container manufacturing,92.00
Paper manufacturing and printing,Miscellaneous paper and pulp products,83.00
Paper manufacturing and printing,Printing and related support activities,509.00
,,
Petroleum and coal products manufacturing,Petroleum refining,183.00
Petroleum and coal products manufacturing,Miscellaneous petroleum and coal products,24.00
,,
Chemicals manufacturing,"Resin, synthetic rubber and fibers, and filaments manufacturing",162.00
Chemicals manufacturing,Agricultural chemical manufacturing,37.00
Chemicals manufacturing,Pharmaceutical and medicine manufacturing,521.00
Chemicals manufacturing,"Paint, coating, and adhesive manufacturing",71.00
Chemicals manufacturing,"Soap, cleaning compound, and cosmetics manufacturing",146.00
Chemicals manufacturing,Industrial and miscellaneous chemicals,430.00
,,
Plastics and rubber products manufacturing,Plastics product manufacturing,372.00
Plastics and rubber products manufacturing,Tire manufacturing,56.00
Plastics and rubber products manufacturing,"Rubber product, except tire, manufacturing",76.00
,,
Wholesale and retail trade,Wholesale trade,
Wholesale and retail trade,Retail trade,
,,
Wholesale trade,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,162.00
Wholesale trade,Furniture and home furnishing merchant wholesalers,79.00
Wholesale trade,Lumber and other construction materials merchant wholesalers,171.00
Wholesale trade,Professional and commercial equipment and supplies merchant wholesalers,338.00
Wholesale trade,"Metals and minerals, except petroleum merchant wholesalers",53.00
Wholesale trade,Household appliances and electrical and electronic goods merchant wholesalers,217.00
Wholesale trade,"Hardware, plumbing and heating equipment, and supplies merchant wholesalers",139.00
Wholesale trade,"Machinery, equipment, and supplies merchant wholesalers",368.00
Wholesale trade,Recyclable material merchant wholesalers,102.00
Wholesale trade,Miscellaneous durable goods merchant wholesalers,97.00
Wholesale trade,Paper and paper products merchant wholesalers,54.00
Wholesale trade,"Drugs, sundries, and chemical and allied products merchant wholesalers",226.00
Wholesale trade,"Apparel, piece goods, and notions merchant wholesalers",121.00
Wholesale trade,Grocery and related product merchant wholesalers,842.00
Wholesale trade,Farm product raw material merchant wholesalers,73.00
Wholesale trade,Petroleum and petroleum products merchant wholesalers,108.00
Wholesale trade,Alcoholic beverages merchant wholesalers,116.00
Wholesale trade,Farm supplies merchant wholesalers,61.00
Wholesale trade,Miscellaneous nondurable goods merchant wholesalers,184.00
Wholesale trade,Wholesale electronic markets and agents and brokers,66.00
Wholesale trade,Not specified wholesale trade,57.00
,,
Retail trade,Automobile dealers,1321.00
Retail trade,Other motor vehicle dealers,153.00
Retail trade,"Automotive parts, accessories, and tire stores",530.00
Retail trade,Furniture and home furnishings stores,554.00
Retail trade,Household appliance stores,65.00
